FID,modern_name,day,month,year,Date_Notes,latitude,longitude,County,notes,Sources,Sou,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,Count,BekyntonMY,BekyntonYM,BekYMD
86,Banwell,26,1,1456,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1456,1456/1,1456/1/26
87,Banwell,31,1,1456,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1456,1456/1,1456/1/31
88,Banwell,18,8,1456,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1456,1456/8,1456/8/18
89,Banwell,13,9,1456,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1456,1456/9,1456/9/13
90,Banwell,17,9,1456,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1456,1456/9,1456/9/17
91,Banwell,26,9,1456,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1456,1456/9,1456/9/26
92,Banwell,28,9,1456,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1456,1456/9,1456/9/28
93,Banwell,29,9,1456,,51.326813,-2.876855,Somerset,,"""And because the said Sir John, at the time of his admission, seemed to the bishop to be too simple in knowledge to have the cure of souls, he made oath before Master Hugh Sugar, the bishop's chancellor, …."" (273)",Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1456,1456/9,1456/9/29
94,Banwell,9,10,1456,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1456,1456/10,1456/10/9
95,Banwell,9,2,1457,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1457,1457/2,1457/2/9
96,Banwell,13,2,1457,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1457,1457/2,1457/2/13
97,Banwell,28,2,1457,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1457,1457/2,1457/2/28
98,Banwell,25,2,1457,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Walter Rodenay,Knight,John Fitz James,,John Austel,,,,1,2/1457,1457/2,1457/2/25
99,Banwell,5,3,1457,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Unnamed,Abbott of Glastonbury,Unnamed,Convent of Glastonbury,,,,,1,3/1457,1457/3,1457/3/5
100,Banwell,7,6,1457,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1457,1457/6,1457/6/7
101,Banwell,8,6,1457,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1457,1457/6,1457/6/8
102,Banwell,14,6,1457,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1457,1457/6,1457/6/14
103,Banwell,15,6,1457,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Robert,Bishop of London,,,,,,,1,6/1457,1457/6,1457/6/15
104,Banwell,23,6,1457,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1457,1457/6,1457/6/23
105,Banwell,25,6,1457,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1457,1457/6,1457/6/25
106,Banwell,27,6,1457,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1457,1457/6,1457/6/27
107,Banwell,3,7,1457,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1457,1457/7,1457/7/3
108,Banwell,6,7,1457,,51.326813,-2.876855,Somerset,,p. 287 - witnesses of the confirmation by the bishop or of the letters?,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1457,1457/7,1457/7/6
109,Banwell,14,5,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1458,1458/5,1458/5/14
110,Banwell,27,5,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Sir Thomas Halton," chaplain, to the church of Lambroke by the dean and chapter of Wells",,,,,,,1,5/1458,1458/5,1458/5/27
111,Banwell,16,6,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1458,1458/6,1458/6/16
112,Banwell,20,6,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1458,1458/6,1458/6/20
113,Banwell,28,6,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1458,1458/6,1458/6/28
114,Banwell,11,7,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1458,1458/7,1458/7/11
115,Banwell,14,7,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1458,1458/7,1458/7/14
116,Banwell,15,7,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1458,1458/7,1458/7/15
117,Banwell,18,7,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1458,1458/7,1458/7/18
118,Banwell,18,7,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1458,1458/7,1458/7/18
119,Banwell,22,8,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1458,1458/8,1458/8/22
120,Banwell,4,9,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Stephen Coye,Unmarried man of his diocese turned hermit,Master John Moreton,Professor of Theology,Master Thomas Bromhalle,Bachelor in degrees,,,1,9/1458,1458/9,1458/9/4
121,Banwell,5,9,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1458,1458/9,1458/9/5
122,Banwell,7,9,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1458,1458/9,1458/9/7
123,Banwell,11,9,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1458,1458/9,1458/9/11
124,Banwell,17,9,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1458,1458/9,1458/9/17
125,Banwell,24,9,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1458,1458/9,1458/9/24
126,Banwell,25,9,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1458,1458/9,1458/9/25
127,Banwell,1,10,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1458,1458/10,1458/10/1
128,Banwell,2,10,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1458,1458/10,1458/10/2
129,Banwell,4,10,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1458,1458/10,1458/10/4
130,Banwell,7,10,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1458,1458/10,1458/10/7
131,Banwell,10,10,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1458,1458/10,1458/10/10
132,Banwell,23,10,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1458,1458/10,1458/10/23
133,Banwell,25,10,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1458,1458/10,1458/10/25
134,Banwell,1,11,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1458,1458/11,1458/11/1
135,Banwell,8,11,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1458,1458/11,1458/11/8
136,Banwell,11,11,1458,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1458,1458/11,1458/11/11
137,Banwell,3,1,1459,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,Dan John Cherde,,1,1/1459,1459/1,1459/1/3
138,Banwell,5,1,1459,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master William North,Bachelor in both laws,John Happesford,Esquire,Thomas Brightyeve,Clerk,,,1,1/1459,1459/1,1459/1/5
139,Banwell,6,1,1459,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1459,1459/1,1459/1/6
140,Banwell,18,1,1459,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1459,1459/1,1459/1/18
141,Banwell,24,1,1459,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1459,1459/1,1459/1/24
142,Banwell,26,1,1459,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,abbot of Mochilney,1,1/1459,1459/1,1459/1/26
143,Banwell,3,2,1459,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master Thomas Bromhall,Clerk,John Happesford,Esquire,,,,,1,2/1459,1459/2,1459/2/3
144,Banwell,6,2,1459,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1459,1459/2,1459/2/6
145,Banwell,21,4,1459,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1459,1459/4,1459/4/21
