modern_name,modern_country,checked,certainty,latitude,longitude,itin_code,FID,County,notes,name_match,geo_dist,geo_id,guess1,g_dist1,geo_id_guess1,guess2,g_dist2,geo_id_guess2
Thurloxton,,,,51.068999999999996,-3.036,EE_TBBW,615,Somerset,Church of Thurlacston by the Prior and convent of Taunton,Thurloxton,0.14824,2635892.0,,,,,,
Warmynstre,,,,51.204060999999996,-2.187459,EE_TBBW,616,Wiltshire,Bishop's inn at Warmynstre,Warminster,0.61097,2634755.0,,,,,,
Wells,,,,51.20235,-2.6597880000000003,EE_TBBW,618,Somerset,,Wells,0.97954,2634569.0,,,,,,
Wells Chapel,,,,51.2101,-2.6463900000000002,EE_TBBW,620,Somerset,Chapel made by him immediately adjoining the presbytery in Wells cathedral,,,,Wells,0.29996,2634569.0,Best Western Swan,0.04071,9258109.0
Wells Palace,,,,51.20932,-2.64373,EE_TBBW,630,Somerset,,,,,Wells,0.39638,2634569.0,Wells Cathedral,0.11589,7522491.0
Westminster,,,,51.495233,-0.143119,EE_TBBW,1058,Middlesex,,,,,Victoria,0.12849,6690579.0,Apollo Victoria Theatre,0.05276,6690326.0
Winchester,,,,51.058341999999996,-1.3164770000000001,EE_TBBW,1060,Hampshire,,Winchester,0.77146,2633858.0,,,,,,
Winchester College of St. Mary,,,,51.05834,-1.31259,EE_TBBW,1063,Hampshire,College of St. Mary by Winchester,,,,Winchester,0.86878,2633858.0,Wolvesey Castle,0.21675,6286732.0
Woky,,,,51.2021,-2.7027240000000003,EE_TBBW,1064,Somerset,p. 10,Wookey,1.11981,2633610.0,,,,,,
Woky Chapel,,,,51.2093,-2.6906,EE_TBBW,1307,Somerset,Woky chapel,,,,Wookey,0.12398,2633610.0,Wookey Hole Hotel,2.38573,10238364.0
Woky Manor,,,,51.20854,-2.69132,EE_TBBW,1308,Somerset,Principal chamber in Woky manor,,,,Wookey,0.14591,2633610.0,Fenny Castle,2.4356,6285931.0
Wolvesey palace,,,,51.059061,-1.310023,EE_TBBW,1339,Hampshire,,,,,Winchester,0.90917,2633858.0,Wolvesey Castle,0.0199,6286732.0
Wykeham Manor,,,,50.9,-1.19,EE_TBBW,1340,,Wykham manor,,,,Wickham,0.15472,2633975.0,Ravenswood House,2.22998,6288749.0
Wyvelescombe,,,,51.03497,-3.313457,EE_TBBW,1343,Somerset,,Wiveliscombe,0.71568,2633720.0,,,,,,
Wyvelescombe Manor,,,,51.0406,-3.30904,EE_TBBW,1353,Somerset,Principal chamber of the manor of Wyvelescombe,,,,Wiveliscombe,0.27645,2633720.0,Wiveliscombe,0.27645,2633720.0
