modern_name,Other Possible Names,Latin Name,geo_id,Modern Country,latitude,longitude,Checked,Certainty,Notes,name_match,geo_dist,geon_addition,guess1,geoid_guess1,g_dist1,itin_list
Almudévar,Almudeuer,,3130279,Spain,42.04331129999999,-0.5840564,y,5,,Almudévar,0.23521,,,,,CA_JIP; CA_PIVP; CA_JII
Almunia de San Juan,,,3120010,Spain,41.9348915,0.2438172,y,5,,La Almunia de San Juan,0.22554000000000002,,,,,CA_JIP
Almusafes,Almussafes,,2521845,Spain,39.2927653,-0.413208,y,5,,Almussafes,0.603,,,,,CA_JIR; CA_JIP; CA_JII
Alòs de Balaguer,,,3130264,Spain,41.912116999999995,0.960887,y,5,,Alòs de Balaguer,0.69662,,,,,CA_JII
Alpuente,,,2521830,Spain,39.87578660000001,-1.0137828000000002,y,5,,Alpuente,1.04223,,,,,CA_JII
Altura,,,2521793,Spain,39.8507919,-0.5129437,y,5,,Altura,0.33052,,,,,CA_MI
Alzira,,,2522129,Spain,39.151185399999996,-0.4333643,y,5,,Alzira,0.13163,,,,,CA_MI; CA_JIR; CA_JIP; CA_PIVP; CA_JII
Amalfi,,,3183130,Italy,40.6340026,14.6026805,y,5,Geonames also has the 'historic capital' of the diocese of Amalfi,Amalfi,0.10300000000000001,,,,,CA_JII
Amposta,,,3130131,Spain,40.7132407,0.5801695,y,5,,Amposta,0.38992,,,,,CA_MI; CA_JIR; CA_JIP; CA_JII
Anagni,,,3183098,Italy,41.745324,13.1513636,y,5,,Anagni,0.39364,,,,,CA_JII
Aniñón,,,3130000,Spain,41.444904799999996,-1.7064481,y,5,,Aniñon,0.17603,,,,,CA_PIVP
Ante el Castillo de San Marco,,,CA_JII_01,Italy,38.0779224,14.6879296,y,4,actually a 4,,,,,,,CA_JII
Arbaniés,,,3129811,Spain,42.1622494,-0.2488031,y,5,,Arbaniés,0.0282,,,,,CA_JIP
Arbeca,,,3129809,Spain,41.542621200000006,0.9234723,y,5,,Arbeca,0.15220999999999998,,,,,CA_JIR; CA_JIP
Arbeca,,,3129809,Spain,41.542621200000006,0.9234723,y,5,,Arbeca,0.15220999999999998,,,,,CA_JIR; CA_JIP
Arcos de las Salinas,,,2521664,Spain,39.9935636,-1.0427543,y,5,,Arcos de las Salinas,1.3920299999999999,,,,,CA_PIVP
Ares del Maestrat,,,3129651,Spain,40.4563558,-0.1317823,y,5,,Ares del Maestre,0.08665,,,,,CA_JIP
Argeles-sur-Mer,Argeles,,3037068,France,42.546214,3.022911,y,5,,Argelers,0.10722000000000001,,,,,CA_JII
Ariza,,,3129550,Spain,41.31144550000001,-2.0579416,y,5,,Ariza,0.50881,,,,,CA_JII
Arles,,,3036938,France,43.676646999999996,4.6277769,y,5,,Arles,,,,,,CA_MI
Arles-Rousillon,,,3036935,France,42.455121999999996,2.635402,y,5,,Arles,0.17131,,,,,CA_JIP
Asçeve,,,TL_0004,Spain,41.634095,0.5551644,R,1,No evidence or specifics about this name except the Itinerary - single day trip from Lerida,,,,,,,CA_JII
Ascó,,,3129277,Spain,41.1827575,0.5671571,y,5,,Ascó,0.07604,,,,,CA_JIP; CA_JII
Asedio de Siracusa,,,CA_JII_02,Italy,37.0649959,15.286586100000001,y,4,,,,,,,,CA_JII
Asedio del Castillo de Alhama,,,CA_JII_03,Spain,37.8523845,-1.421822,y,4,,,,,,,,CA_JII
Asedio del Castillo de El Llor,,,CA_JII_04,Spain,41.745364,1.3093562,y,4,,,,,,,,CA_JII
Asedio del Castillo de Lorca,,,CA_JII_05,Spain,37.677929999999996,-1.7013193,y,4,,,,,,,,CA_JII
Asedio del Castillo de Querol,,,CA_JII_06,Spain,41.42183120000001,1.3967475,y,4,,,,,,,,CA_JII
Asedio de Almería,,,CA_JII_07,Spain,36.834047,-2.4637136,y,4,,,,,,,,CA_JII
Asteruelas,,,TL_0005,Spain,41.7599119,-0.5202724,y,4,The itinerary lists Joan traveling from Alcolea de Cinca to Sena then Sena to Sarinena and then to Lanaja. The next day Joan is in Steruelos but the following day lists him in Laperdiguera. There was a small village of Asteruelas between Lanaja and Perdiguera that was sold to Perdiguera in the 15th century and the abandoned completely in the 17th...there are only a couple of church ruins there today.  See this article for a rough map and some photos: http://www.antropologiaaragonesa.org/pdf/temas/9.02_La_leyenda.pdf,,,,,,,CA_JIR
At Sea - Martin 1,,,CA_MI_01,Spain,41.083402,1.610639,y,3,,,,,,,,CA_MI
At Sea - Martin 2,,,CA_MI_02,Spain,40.696658,0.8945569999999999,y,3,,,,,,,,CA_MI
At sea between Barcelona and Mallorca,,,CA_JIR_01,Spain,40.5330879,2.3016089,y,2,,,,,,,,CA_JIR
Ateca,,,3129199,Spain,41.3296158,-1.7952762,y,5,,Ateca,0.20598000000000002,,,,,CA_PIVP; CA_JII
Atienza,,,3129197,Spain,41.1981179,-2.8708039,y,5,,Atienza,0.10743,,,,,CA_JII
Augusta,,,2525646,Italy,37.2500684,15.221697099999998,y,5,,Augusta,1.0490000000000002,,,,,CA_MI
Avignon,,,3035681,France,43.949317,4.805528,y,5,,Avignon,0.29333000000000004,,,,,CA_MI
Ayerbe,,,3129111,Spain,42.274862299999995,-0.6879801999999999,y,5,,Ayerbe,0.24593,,,,,CA_JII
Azaila,,,3129085,Spain,41.291049,-0.49358549999999995,y,5,,Azaila,0.04942,,,,,CA_JIP
Azuara,,,3129051,Spain,41.258748499999996,-0.8710884,y,5,,Azuara,0.06457,,,,,CA_PIVP; CA_JII
Badalona,,,3129028,Spain,41.446988299999994,2.2450325,y,5,,Badalona,0.3934,,,,,CA_MI; CA_JIR; CA_JIP
Badules,,,3129020,Spain,41.1386889,-1.2533063999999998,y,5,,Badules,0.046360000000000005,,,,,CA_PIVP
Baélls,,,3129019,Spain,41.9539194,0.4583451,y,5,,Baells,0.1248,,,,,CA_JII
Bagà,,,3129017,Spain,42.25262,1.8617110000000001,y,5,,Bagà,0.0671,,,,,CA_JIP
Bages,,,3035431,France,43.122939,2.9933810000000003,y,5,,Bages,0.21516999999999997,,,,,CA_MI; CA_JIP
Báguena,,,3129010,Spain,41.040396,-1.358701,y,5,,Báguena,0.17985,,,,,CA_MI; CA_PIVP
Baia,,,3182488,Italy,40.8212236,14.0723115,y,4,,Baiae,0.69489,,,,,CA_JII
Balaguer,,,3128978,Spain,41.7877143,0.8055595,y,5,,Balaguer,0.58963,,,,,CA_JIR; CA_JIP; CA_PIVP; CA_JII
Balsareny,,,3128928,Spain,41.8634562,1.8745218999999997,y,5,,Balsareny,0.08924,,,,,CA_JIR
Bañón,Vañón,,3128883,Spain,40.839208,-1.1906163,y,5,,Bañón,0.10968,,,,,CA_JII
Banyoles,Banyolas,,3128885,Spain,42.1181833,2.7651488,y,5,,Banyoles,0.21008000000000002,,,,,CA_JIR; CA_JIP; CA_JII
Banyuls-sur-Mer,Banyuls,,3035092,Spain,42.4839088,3.1290622000000003,y,5,,Banyuls de la Marenda,0.01898,,,,,CA_JII
Barbastro,Barbastri,,3128795,Spain,42.0360435,0.1284404,y,5,,Barbastro,0.13808,,,,,CA_JIP; CA_PIVP; CA_JII
Barberà de la Conca,,,3128801,Spain,41.4109456,1.2277556,y,5,,Barberà de la Conca,1.3020399999999999,,,,,CA_JIP
Barcelona,,,3128760,Spain,41.3850639,2.1734035,y,5,,Barcelona,1.273,,,,,CA_MI; CA_JIR; CA_JIP; CA_PIVP; CA_JII
Barrachina,,,3128654,Spain,40.89690220000001,-1.1383006000000002,y,5,,Barrachina,0.02363,,,,,CA_PIVP; CA_JII
Barraques,,,3128656,Spain,40.0162978,-0.6976944,y,5,,Barracas,1.198,,,,,CA_MI; CA_JIP
Bàscara,,,3128526,Spain,42.1581166,2.9107298,y,5,,Bàscara,0.21066,,,,,CA_MI; CA_JIR; CA_JIP; CA_JII
Batea,,,3128482,Spain,41.09540300000001,0.31016900000000003,y,5,,Batea,0.13760999999999998,,,,,CA_MI; CA_JIP; CA_PIVP
Belchite,,,12023502,Spain,41.3012911,-0.748976,y,5,,Pueblo Viejo de Belchite,0.21545,,,,,CA_PIVP
Bell-Lloc d'Urgell,Bell-lloc,,3128345,Spain,41.6303438,0.7791283,y,5,,Bell-lloc d'Urgell,0.48272,,,,,CA_MI; CA_JIP; CA_JII
Bellver de Cerdanya,,,3128333,Spain,42.3728624,1.7749101000000005,y,5,,Bellver de Cerdanya,0.97725,,,,,CA_JIP
Belmonte de Gracián,,,3128326,Spain,41.3126374,-1.5384163999999998,y,5,,Belmonte de Calatayud,0.12088,,,,,CA_JIP; CA_PIVP
Belmonte de San José,,,3128324,Spain,40.8746815,-0.0635827,y,5,,Bellmunt de Mesquí / Belmonte de San José,0.030160000000000006,,,,,CA_JIP
Belver de Cinca,,,3128313,Spain,41.6920452,0.17876570000000006,y,5,,Belver de Cinca,0.08547,,,,,CA_JIP
Benicasim,,,3128272,Spain,40.055385,0.0641504,y,5,,Benicassim,0.63531,,,,,CA_JII
Benifaio,,,2521080,Spain,39.2886534,-0.4408037,y,5,,Benifaió,1.36389,,,,,CA_JII
Benifallet,,,3128271,Spain,40.97330720000001,0.5169219,y,5,,Benifallet,0.11967,,,,,CA_MI
Berbegal,,,3128240,Spain,41.96118320000001,-0.0029143,y,5,,Berbegal,0.17898,,,,,CA_JII
Berdún,,,3128204,Spain,42.603502299999995,-0.8573860999999999,y,5,,Berdún,0.13788,,,,,CA_PIVP; CA_JII
Berga,,,3128201,Spain,42.1012595,1.8439221000000001,y,5,,Berga,0.38897,,,,,CA_JIP
Besalú,,,3128096,Spain,42.1990117,2.699623,y,5,,Besalú,0.01252,,,,,CA_JIR; CA_JIP; CA_JII
Béziers,,,3032833,France,43.342145,3.211401,y,5,,Béziers,0.2359300000000001,,,,,CA_JIP
Binaced,,,3128017,Spain,41.8253489,0.2010339,y,5,,Binaced,0.03558,,,,,CA_JIR
Binéfar,,,3128015,Spain,41.8485199,0.29605440000000005,y,5,,Binéfar,0.35096,,,,,CA_JIR; CA_JIP; CA_JII
Blanes,,,3127978,Spain,41.6759954,2.7902289000000002,y,5,,Blanes,0.20035,,,,,CA_MI; CA_JIR
Bocairente,,,2520898,Spain,38.766378,-0.6103997,y,5,,Bocairent,0.54561,,,,,CA_JII
Bolea,,,3127869,Spain,42.2607409,-0.5519063,y,5,,Bolea,0.17779,,,,,CA_PIVP; CA_JII
Borja,,,3127800,Spain,41.8337231,-1.5341785,y,5,,Borja,0.12994,,,,,CA_JIR; CA_PIVP; CA_JII
Borriol,Pobla de Borriol,,3127773,Spain,40.041497899999996,-0.071173,y,5,,Borriol,0.13588,,,,,CA_JIP; CA_JII
Bujaraloz,,,3127507,Spain,41.497428,-0.15300970000000005,y,5,,Bujaraloz,0.07119,,,,,CA_JIR; CA_JIP
Burbáguena,,,3127487,Spain,41.0184328,-1.3378849,y,5,,Burbáguena,0.07321,,,,,CA_JIP; CA_PIVP; CA_JII
Burjassot,,,2520712,Spain,39.5096699,-0.4135963,y,5,,Burjassot,0.03383,,,,,CA_MI
Burriana,Borriana,,2520709,Spain,39.8895925,-0.08483020000000001,y,5,,Burriana,0.06641,,,,,CA_MI; CA_JIR; CA_JIP; CA_JII
Ça Lacuna,,,TL_0006,Spain,41.45766070000001,2.1940659,R,1,This is not the Spanish city of La Llacuna - based on the itinerary of Joan I that location would be too far away.,,,,la Trinitat Vella,11549809.0,0.67403,CA_JIR
Cabañas de Ebro,,,3127290,Spain,41.793949100000006,-1.1634966999999998,y,5,,Cabañas de Ebro,3.10747,,,,,CA_JII
Cabanes,,,3127277,Spain,40.1559869,0.043072000000000006,y,5,,Cabanes,0.01554,,,,,CA_MI; CA_JIP; CA_JII
Cabo Al-Ajub,,,2511100,Spain,38.1838154,-0.5022976,y,3,Today this is called the Cabo de Santa Pola or Cap de l'Aljub.  It is the cape to the north of Santa Pola and a general landform rather than a specific place,Cabo de Santa Pola,3.009,,,,,CA_JII
Cabo de Orlando,,,2523961,Italy,38.1679714,14.742693,y,4,,Cabo d'Orlando,0.6559999999999999,,,,,CA_JII
Cabo Sarçelo Provenza,,,2974619,France,43.044737299999994,5.8616062000000015,y,3,Identified by the editor of Jaume II as Cap Sicie rather than Cap Sarçelo - makes sense in travel order.,Cap Sicié,0.263,,,,,CA_JII
Cabra del Camp,,,3127191,Spain,41.3955557,1.2759961000000002,y,5,,Cabra del Camp,0.7874800000000001,,,,,CA_JIR
Cadaqués,Puerto de Cadaques,,3127117,Spain,42.287997499999996,3.2759721,y,5,,Cadaqués,0.10951,,,,,CA_JII
Cagliari,,,2525473,Italy,39.2238411,9.121661300000001,y,5,,Cagliari,0.77374,,,,,CA_MI
Calabria,,,2525468,Italy,39.3087714,15.9124318,y,2,marked Calabria - possibly still in Scalea.  It's not a clear marker,Calabria,100.48100000000001,,,,,CA_JII
Calaceite,,,3127071,Spain,41.0158479,0.18763849999999999,y,5,,Calaceite,0.10419,,,,,CA_PIVP
Calahorra,,,3127065,Spain,42.3073551,-1.9673133000000005,y,5,,Calahorra,0.30838000000000004,,,,,CA_JII
Çalalbi,,,TL_0007,Spain,41.6394797,0.20515039999999998,R,1,Somewhere between Sigena and Lerida but with no specifics - Jaume II Itinerary editors mark,,,,Almudáfar,3130280.0,0.5362600000000001,CA_JII
Calamocha,,,3127059,Spain,40.919378200000004,-1.299939,y,5,,Calamocha,0.20535,,,,,CA_MI; CA_JIP; CA_PIVP; CA_JII
Calatayud,Calataiut,,3127047,Spain,41.353167799999994,-1.6468455000000002,y,5,,Calatayud,0.3091,,,,,CA_MI; CA_JIP; CA_PIVP; CA_JII
Calatorao,,,3127046,Spain,41.52217520000001,-1.3457193,y,5,,Calatorao,0.10892,,,,,CA_PIVP
Caldes de Estrac,,,3127038,Spain,41.5716858,2.5236717,y,5,,Caldes d'Estrac,0.97987,,,,,CA_JII
Caldes de Malavella,,,3127036,Spain,41.8358025,2.807864,y,5,,Caldes de Malavella,0.78094,,,,,CA_JIP
Caldes de Montbui,,,3127035,Spain,41.6340385,2.1621117,y,5,,Caldes de Montbui,0.38754,,,,,CA_JIR; CA_JIP; CA_JII
Calella,,,3127007,Spain,41.61343460000001,2.6535552000000004,y,5,,Calella,0.07001,,,,,CA_JIR
Callosa de Ensarrià,,,2520503,Spain,38.650768400000004,-0.1216181,y,5,,Callosa d'En Sarrià,0.43938,,,,,CA_JII
Calpe,,,2520496,Spain,38.6436469,0.045687599999999995,y,5,,Calpe,0.15555,,,,,CA_JII
Caltagirone,,,2525450,Italy,37.2380929,14.5126066,y,5,,Caltagirone,0.25904,,,,,CA_MI
Camarena de la Sierra,,,3126919,Spain,40.1476484,-1.0412584,y,5,,Camarena de la Sierra,0.72401,,,,,CA_PIVP
Cambrils de Mar,Cambrils,,3126888,Spain,41.066675399999994,1.0603606,y,5,,Cambrils,0.37313,,,,,CA_JIR; CA_JIP; CA_JII
Camp de Tarragona,,,6457305,Spain,41.3898453,1.6536293000000002,y,2,"This is the entire inland region near Tarragona - this is on the northern side of the ""Camp"" but it is an arbitrary location within the region.  This would work better as a full polygon.",Comarca de l'Alt Camp,13.267999999999999,,,,,CA_JII
Camp near Piazza Armerina,,,TL_0008,Italy,37.3843432,14.3821978,y,4,,,,,,,,CA_MI
Campillo de Aragon,Campillo,,3126811,Spain,41.1263979,-1.8425016,y,5,,Campillo de Aragón,0.12055,,,,,CA_JII
Campos,,,2520403,Spain,39.432567399999996,3.0187739,y,5,,Campos,0.18216,,,,,CA_JIR
Camprodon,,,3126722,Spain,42.313669399999995,2.3651425,y,5,,Camprodon,0.20259000000000002,,,,,CA_JIP
Candasnos,,,3126631,Spain,41.5018546,0.0638187,y,5,,Candasnos,0.047060000000000005,,,,,CA_JIR
Canet-en-Roussillon,,,3028832,France,42.706091,3.0098979999999997,y,5,,Canet-en-Roussillon,0.8748600000000001,,,,,CA_MI; CA_JIP
Cantavieja,,,3126503,Spain,40.5290141,-0.4052257,y,5,,Cantavieja,0.28962,,,,,CA_JII
Cardedeu,,,3126317,Spain,41.639402399999994,2.3591531000000003,y,5,,Cardedeu,0.15233,,,,,CA_JIR; CA_JIP
Cariñena,,,3126278,Spain,41.3370805,-1.2241497,y,5,,Cariñena,0.03685,,,,,CA_MI; CA_JIP; CA_PIVP; CA_JII
Carlet,,,2520121,Spain,39.22597800000001,-0.5195890000000001,y,5,,Carlet,0.17253,,,,,CA_JII
Cartuja de Montalegre,Cartuja de San Pablo,,GNA_0001,Spain,41.48906470000001,2.2547997000000004,y,6,The original monastery dedicated to San Pablo was founded in 1270; it was unified with a second institution and renamed Montalegre in 1415 (http://cartoixamontalegre.net/)  see also https://books.google.com/books?id=lLGLyNLsqzIC - page 215.,,,to_add,Tiana,3108110.0,1.2865799999999998,CA_JII
Cartuja de Porta Coeli,,,GNA_0002,Spain,39.6827154,-0.4733861,y,6,,,,to_add,Porta Del Cel,10240474.0,4.01295,CA_MI
Cartuja de Scala Dei,,,GNA_0003,Spain,41.2569956,0.8100595,y,6,,,,to_add,Escaladei,10941887.0,0.98893,CA_MI; CA_JII
Cartuja de Vall de Crist,,,GNA_0004,Spain,39.8409948,-0.5080210999999999,y,6,,,,to_add,Altura,2521793.0,1.2438799999999999,CA_MI
Casa de la Belladona,,,TL_0009,Spain,41.8355,2.752354,R,3,"Yes, this is on top of a rural farmhouse tourist rental called Belladona...do I have any idea if this is right?  No.  But it is about half-way between Girona and Hostalric which is the right location.",,,,Vallcanera,3106662.0,0.31008,CA_MI; CA_JIR; CA_JIP
Casbas de Huesca,,,3126038,Spain,42.155192,-0.139809,y,5,,Casbas de Huesca,0.03506,,,,,CA_JIP
Caspe,,,3125994,Spain,41.2344007,-0.040820800000000004,y,5,,Caspe,0.12214000000000001,,,,,CA_MI; CA_JIP; CA_PIVP; CA_JII
Castejon de Valdejasa,Castilione; Casteyon,,3125937,Spain,41.9816729,-0.9946155000000001,y,5,,Castejón de Valdejasa,0.06967000000000001,,,,,CA_JII
Castejón del Puente,,,3125942,Spain,41.961384,0.1585692,y,5,,Castejón del Puente,0.04978,,,,,CA_JIP
Castelflorite,,,3125932,Spain,41.8038572,-0.0218629,y,5,,Castelflorite,0.12593,,,,,CA_JIR
Castell d'Argimon,Argimon,,GNA_0005,Spain,41.830586,2.635886,y,6,,,,to_add,Raval de l'Esparra,3119775.0,2.57505,CA_JIP
Castell de Balsareny,,,GNA_0006,Spain,41.8707174,1.8814883999999998,y,6,,,,to_add,Balsareny,3128928.0,1.0717700000000001,CA_JIR
Castell de Castellbò,,,GNA_0007,Spain,42.37442,1.3559999999999999,y,6,,,,to_add,Castellbó,3125903.0,0.22730999999999998,CA_JIP
Castell de La Roca,,,GNA_0008,Spain,41.5914287,2.3282533,y,6,,,,to_add,La Roca del Vallès,3119099.0,0.9939,CA_MI
Castell de Malla,,,TL_0010,Spain,41.888138,2.22955,y,6,,,,,Malla,3117630.0,1.3769200000000001,CA_JIP
Castell de Marmellar,,,TL_0011,Spain,41.3586614,1.5512948,y,6,,,,,Torrelles de Foix,3107769.0,3.02688,CA_JIR
Castell de Miravet,,,TL_0012,Spain,41.035608,0.594037,y,6,,,,,Miravet,3116678.0,0.46474,CA_MI; CA_JIP
